size;n;k;comp;swaps
select;200;200-1;
select;200;200-1;381;1155
select;200;200-1;309;964
select;200;200-1;394;1216
select;200;200-1;325;1007
select;200;200-1;360;1110
select;200;200-1;361;1071
select;200;200-1;
select;200;200-1;382;1147
select;200;200-1;336;978
select;200;200-1;412;1209
select;200;200-1;373;1133
select;200;200-1;315;961
select;200;200-1;
select;200;200-1;
select;200;200-1;400;1227
select;200;200-1;355;1139
select;200;200-1;346;1104
select;200;200-1;370;1120
select;200;200-1;360;1088
select;200;200-1;353;1089
select;200;200-1;
select;200;200-1;
select;200;200-1;356;1061
select;200;200-1;370;1044
select;200;200-1;345;983
select;200;200-1;356;1054
select;200;200-1;364;1087
select;200;200-1;334;1045
select;200;200-1;369;1144
select;200;200-1;354;1097
select;200;200-1;327;974
select;200;200-1;331;1084
select;200;200-1;
select;200;200-1;316;962
select;200;200-1;
select;200;200-1;383;1160
select;200;200-1;383;1133
select;200;200-1;295;887
select;200;200-1;
select;200;200-1;334;1032
select;200;200-1;363;1120
select;200;200-1;342;1077
select;200;200-1;
select;200;200-1;375;1161
select;200;200-1;388;1120
select;200;200-1;333;1100
select;200;200-1;315;914
select;200;200-1;336;1091
select;200;200-1;
select;200;200-1;
select;200;200-1;386;1163
select;200;200-1;344;1056
select;200;200-1;
select;200;200-1;
select;300;0;570;1686
select;300;0;526;1629
select;300;0;569;1676
select;300;0;667;2035
select;300;0;631;1853
select;300;0;622;1855
select;300;0;595;1766
select;300;0;620;1827
select;300;0;584;1741
select;300;0;574;1696
select;300;0;580;1709
select;300;0;549;1542
select;300;0;599;1765
select;300;0;602;1838
select;300;0;630;1885
select;300;0;530;1531
select;300;0;628;1872
select;300;0;588;1758
select;300;0;589;1794
select;300;0;576;1662
select;300;0;603;1823
select;300;0;571;1638
select;300;0;624;1860
select;300;0;598;1848
select;300;0;581;1782
select;300;0;504;1440
select;300;0;557;1685
select;300;0;579;1852
select;300;0;570;1693
select;300;0;609;1843
select;300;0;538;1565
select;300;0;610;1870
select;300;0;572;1680
select;300;0;505;1468
select;300;0;534;1640
select;300;0;495;1474
select;300;0;550;1728
select;300;0;568;1691
select;300;0;596;1835
select;300;0;549;1621
select;300;0;557;1726
select;300;0;628;1794
select;300;0;565;1737
select;300;0;610;1810
select;300;0;606;1813
select;300;0;610;1834
select;300;0;603;1783
select;300;0;521;1543
select;300;0;589;1740
select;300;0;561;1641
select;300;0;548;1665
select;300;0;539;1514
select;300;0;584;1734
select;300;0;615;1879
select;300;0;504;1490
select;300;0;602;1782
select;300;0;624;1923
select;300;0;554;1646
select;300;0;584;1744
select;300;0;568;1691
select;300;0;614;1763
select;300;0;588;1796
select;300;0;514;1469
select;300;0;599;1689
select;300;0;529;1526
select;300;0;644;1869
select;300;0;657;1911
select;300;0;574;1715
select;300;0;532;1666
select;300;0;585;1779
select;300;0;541;1619
select;300;0;600;1770
select;300;0;639;1957
select;300;0;619;1904
select;300;0;541;1640
select;300;0;590;1717
select;300;0;549;1675
select;300;0;622;1878
select;300;0;553;1689
select;300;0;611;1808
select;300;0;567;1637
select;300;0;591;1816
select;300;0;585;1753
select;300;0;566;1692
select;300;0;559;1656
select;300;0;626;1846
select;300;0;547;1658
select;300;0;619;1868
select;300;0;603;1799
select;300;0;578;1739
select;300;0;545;1658
select;300;0;606;1875
select;300;0;474;1364
select;300;0;514;1463
select;300;0;640;1909
select;300;0;605;1798
select;300;0;504;1556
select;300;0;569;1650
select;300;0;585;1819
select;300;0;606;1778
select;300;300/4;
select;300;300/4;497;1495
select;300;300/4;529;1649
select;300;300/4;550;1580
select;300;300/4;
select;300;300/4;570;1749
select;300;300/4;
select;300;300/4;583;1709
select;300;300/4;
select;300;300/4;503;1481
select;300;300/4;
select;300;300/4;611;1814
select;300;300/4;
select;300;300/4;
select;300;300/4;491;1466
select;300;300/4;
select;300;300/4;
select;300;300/4;559;1646
select;300;300/4;592;1785
select;300;300/4;
select;300;300/4;529;1507
select;300;300/4;631;1818
select;300;300/4;537;1620
select;300;300/4;443;1309
select;300;300/4;
select;300;300/4;634;1758
select;300;300/4;
select;300;300/4;548;1580
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;486;1417
select;300;300/4;445;1304
select;300;300/4;
select;300;300/4;637;1812
select;300;300/4;512;1468
select;300;300/4;521;1565
select;300;300/4;595;1785
select;300;300/4;496;1415
select;300;300/4;543;1643
select;300;300/4;573;1748
select;300;300/4;
select;300;300/4;569;1766
select;300;300/4;
select;300;300/4;
select;300;300/4;566;1714
select;300;300/4;546;1640
select;300;300/4;573;1721
select;300;300/4;592;1747
select;300;300/4;590;1742
select;300;300/4;
select;300;300/4;603;1761
select;300;300/4;554;1621
select;300;300/4;548;1638
select;300;300/4;555;1762
select;300;300/4;
select;300;300/4;564;1689
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;601;1821
select;300;300/4;583;1752
select;300;300/4;
select;300;300/4;596;1780
select;300;300/4;
select;300;300/4;533;1563
select;300;300/4;484;1381
select;300;300/4;
select;300;300/4;590;1741
select;300;300/4;642;1887
select;300;300/4;449;1325
select;300;300/4;
select;300;300/4;602;1787
select;300;300/4;544;1676
select;300;300/4;
select;300;300/4;
select;300;300/4;571;1656
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;541;1621
select;300;300/4;618;1801
select;300;300/4;
select;300;300/4;
select;300;300/4;513;1559
select;300;300/4;572;1687
select;300;300/4;603;1689
select;300;300/4;614;1765
select;300;300/4;519;1557
select;300;300/4;614;1763
select;300;300/4;563;1625
select;300;300/4;546;1574
select;300;300/4;531;1495
select;300;300/4;580;1826
select;300;300/4;
select;300;300/4;
select;300;300/2;530;1625
select;300;300/2;645;1789
select;300;300/2;517;1479
select;300;300/2;492;1387
select;300;300/2;578;1729
select;300;300/2;620;1776
select;300;300/2;
select;300;300/2;
select;300;300/2;542;1634
select;300;300/2;551;1649
select;300;300/2;595;1654
select;300;300/2;
select;300;300/2;566;1775
select;300;300/2;618;1811
select;300;300/2;594;1696
select;300;300/2;
select;300;300/2;549;1603
select;300;300/2;
select;300;300/2;548;1715
select;300;300/2;
select;300;300/2;555;1729
select;300;300/2;534;1593
select;300;300/2;599;1789
select;300;300/2;
select;300;300/2;507;1478
select;300;300/2;512;1431
select;300;300/2;540;1577
select;300;300/2;594;1762
select;300;300/2;620;1837
select;300;300/2;564;1722
select;300;300/2;556;1602
select;300;300/2;
select;300;300/2;
select;300;300/2;570;1740
select;300;300/2;480;1429
select;300;300/2;543;1680
select;300;300/2;564;1665
select;300;300/2;
select;300;300/2;
select;300;300/2;
select;300;300/2;578;1755
select;300;300/2;
select;300;300/2;619;1797
select;300;300/2;
select;300;300/2;
select;300;300/2;580;1814
select;300;300/2;512;1499
select;300;300/2;506;1498
select;300;300/2;490;1436
select;300;300/2;
select;300;300/2;588;1720
select;300;300/2;555;1695
select;300;300/2;604;1749
select;300;300/2;582;1651
select;300;300/2;
select;300;300/2;
select;300;300/2;528;1468
