type;n;k;comp;swaps
select;300;0;803;1485
select;300;0;756;1350
select;300;0;744;1351
select;300;0;803;1477
select;300;0;781;1456
select;300;0;756;1420
select;300;0;786;1439
select;300;0;706;1278
select;300;0;798;1462
select;300;0;747;1437
select;300;0;776;1442
select;300;0;733;1311
select;300;0;752;1398
select;300;0;838;1553
select;300;0;783;1438
select;300;0;765;1467
select;300;0;773;1443
select;300;0;784;1493
select;300;0;789;1464
select;300;0;817;1567
select;300;0;802;1475
select;300;300/4;720;1377
select;300;300/4;
select;300;300/4;768;1453
select;300;300/4;791;1449
select;300;300/4;746;1415
select;300;300/4;762;1381
select;300;300/4;
select;300;300/4;805;1470
select;300;300/4;691;1346
select;300;300/4;709;1329
select;300;300/4;
select;300;300/4;752;1375
select;300;300/4;821;1500
select;300;300/4;735;1360
select;300;300/4;
select;300;300/4;
select;300;300/4;689;1327
select;300;300/4;
select;300;300/4;745;1367
select;300;300/4;
select;300;300/4;808;1480
select;300;300/4;776;1437
select;300;300/4;792;1459
select;300;300/4;
select;300;300/4;784;1467
select;300;300/4;825;1495
select;300;300/4;
select;300;300/4;776;1427
select;300;300/4;670;1298
select;300;300/4;780;1430
select;300;300/4;
select;300;300/4;782;1422
select;300;300/4;
select;300;300/4;761;1411
select;300;300/4;754;1395
select;300;300/4;802;1484
select;300;300/4;759;1372
select;300;300/4;789;1456
select;300;300/4;779;1444
select;300;300/4;830;1514
select;300;300/4;743;1371
select;300;300/4;775;1417
select;300;300/4;
select;300;300/4;
select;300;300/4;779;1478
select;300;300/4;824;1485
select;300;300/4;757;1415
select;300;300/4;718;1325
select;300;300/4;749;1432
select;300;300/4;742;1345
select;300;300/4;775;1447
select;300;300/4;
select;300;300/4;
select;300;300/4;711;1331
select;300;300/4;711;1319
select;300;300/4;729;1376
select;300;300/4;
select;300;300/4;750;1393
select;300;300/4;895;1560
select;300;300/4;802;1460
select;300;300/4;827;1471
select;300;300/4;787;1427
select;300;300/4;750;1415
select;300;300/4;749;1429
select;300;300/4;800;1465
select;300;300/4;714;1379
select;300;300/4;792;1456
select;300;300/4;723;1290
select;300;300/4;804;1479
select;300;300/4;729;1370
select;300;300/4;806;1465
select;300;300/4;794;1477
select;300;300/4;715;1316
select;300;300/4;798;1459
select;300;300/4;767;1446
select;300;300/4;736;1397
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;835;1481
select;300;300/4;856;1519
select;300;300/4;
select;300;300/4;
select;300;300/4;763;1463
select;300;300/4;807;1428
select;300;300/4;789;1459
select;300;300/4;845;1504
select;300;300/4;
select;300;300/4;837;1501
select;300;300/4;769;1443
select;300;300/4;
select;300;300/4;708;1323
select;300;300/4;809;1454
select;300;300/4;765;1444
select;300;300/4;832;1504
select;300;300/4;805;1485
select;300;300/4;841;1515
select;300;300/4;721;1322
select;300;300/4;703;1340
select;300;300/4;728;1381
select;300;300/2;738;1375
select;300;300/2;758;1369
select;300;300/2;758;1400
select;300;300/2;797;1464
select;300;300/2;795;1465
select;300;300/2;
select;300;300/2;762;1420
select;300;300/2;700;1340
select;300;300/2;783;1462
select;300;300/2;714;1310
select;300;300/2;808;1453
select;300;300/2;640;1194
select;300;300/2;802;1477
select;300;300/2;709;1351
select;300;300/2;
select;300;300/2;
select;300;300/2;795;1468
select;300;300/2;842;1519
select;300;300/2;847;1522
select;300;300/2;
select;300;300/2;763;1416
select;300;300/2;
select;300;300/2;784;1446
select;300;300/2;848;1514
select;300;300/2;803;1455
select;300;300/2;
select;300;300/2;
select;300;300/2;841;1528
select;300;300/2;716;1341
select;300;300/2;
select;300;300/2;840;1530
select;300;300/2;743;1388
select;300;300/2;724;1377
select;300;300/2;735;1377
select;300;300/2;803;1509
select;300;300/2;702;1262
select;300;300/2;760;1412
select;300;300/2;
select;300;300/2;703;1270
select;300;300/2;745;1340
select;300;300/2;811;1489
select;300;300/2;699;1262
select;300;300/2;
select;300;300/2;794;1451
select;300;300/2;766;1436
select;300;300/2;680;1348
select;300;300/2;749;1383
select;300;300/2;774;1418
select;300;300/2;
select;300;300/2;
select;300;300/2;720;1370
select;300;300/2;715;1378
select;300;300/2;
select;300;300/2;848;1511
select;300;300/2;682;1279
select;300;300/2;639;1164
select;300;300/2;763;1417
select;300;300/2;785;1452
select;300;300/2;779;1438
select;300;300/2;791;1472
select;300;300/2;719;1349
select;300;300/2;663;1255
select;300;300/2;772;1429
select;300;300/2;888;1586
select;300;300/2;817;1486
select;300;300/2;
select;300;300/2;770;1439
select;300;300/2;737;1348
select;300;300/2;
select;300;300/2;
select;300;300/2;716;1364
select;300;300/2;772;1378
select;300;300/2;702;1279
select;300;300/2;800;1469
select;300;300/2;787;1425
select;300;300/2;751;1408
select;300;300/2;762;1367
select;300;300/2;637;1197
select;300;300/2;772;1436
select;300;300/2;811;1452
select;300;300/2;846;1532
select;300;300/2;683;1283
select;300;300/2;
select;300;300/2;630;1198
select;300;300/2;808;1486
select;300;300/2;752;1387
select;300;300/2;
select;300;300/2;801;1433
select;300;300/2;
select;300;300/2;807;1440
select;300;300/2;
select;300;300/2;754;1414
select;300;300/2;
select;300;300/2;707;1373
select;300;300/2;704;1292
select;300;300/2;721;1377
select;300;300/2;761;1431
select;300;300/2;725;1388
select;300;300/2;844;1528
select;300;300/2;
select;300;300-1;841;1528
select;300;300-1;
select;300;300-1;
select;300;300-1;
select;300;300-1;809;1462
select;300;300-1;
select;300;300-1;797;1478
select;300;300-1;766;1412
select;300;300-1;805;1465
select;300;300-1;891;1578
select;300;300-1;
select;300;300-1;741;1371
select;300;300-1;
select;300;300-1;855;1529
select;300;300-1;847;1516
select;300;300-1;735;1363
select;300;300-1;775;1446
select;300;300-1;780;1428
select;300;300-1;
select;300;300-1;739;1338
select;300;300-1;836;1510
select;300;300-1;
select;300;300-1;777;1411
select;300;300-1;
select;300;300-1;
select;300;300-1;831;1475
select;300;300-1;
select;300;300-1;787;1409
select;300;300-1;650;1230
select;300;300-1;748;1394
select;300;300-1;691;1297
select;300;300-1;747;1398
select;300;300-1;
select;300;300-1;738;1337
select;300;300-1;753;1405
select;300;300-1;818;1465
select;300;300-1;687;1289
select;300;300-1;
select;300;300-1;811;1468
select;300;300-1;
select;300;300-1;736;1395
select;300;300-1;775;1441
select;300;300-1;795;1435
select;300;300-1;762;1410
select;300;300-1;768;1450
select;300;300-1;802;1447
select;300;300-1;752;1396
select;300;300-1;748;1353
select;300;300-1;703;1260
select;300;300-1;
select;300;300-1;806;1468
select;300;300-1;765;1371
select;300;300-1;819;1480
select;300;300-1;811;1487
select;300;300-1;810;1468
select;300;300-1;778;1428
select;300;300-1;805;1473
select;300;300-1;749;1407
select;300;300-1;715;1299
select;300;300-1;
select;300;300-1;691;1347
select;300;300-1;
select;300;300-1;659;1240
select;300;300-1;829;1513
select;300;300-1;729;1343
select;300;300-1;773;1451
select;300;300-1;745;1358
select;300;300-1;
select;300;300-1;768;1428
select;300;300-1;752;1395
select;300;300-1;
select;300;300-1;697;1291
select;300;300-1;697;1271
select;300;300-1;
select;300;300-1;731;1371
select;300;300-1;
select;300;300-1;749;1399
select;300;300-1;688;1250
select;300;300-1;676;1269
select;300;300-1;721;1392
select;300;300-1;805;1436
select;300;300-1;
select;300;300-1;
select;300;300-1;787;1437
select;300;300-1;
select;300;300-1;804;1471
select;300;300-1;829;1491
select;300;300-1;
select;300;300-1;
select;300;300-1;688;1261
select;300;300-1;706;1330
select;300;300-1;775;1411
select;300;300-1;769;1371
select;300;300-1;665;1288
select;300;300-1;831;1496
select;300;300-1;778;1402
select;300;300-1;722;1349
select;300;300-1;760;1423
select;300;300-1;774;1419
select;300;300-1;704;1322
select;400;0;1147;2098
select;400;0;1093;1978
select;400;0;985;1823
select;400;0;1078;2041
select;400;0;1072;1921
select;400;0;1114;2048
select;400;0;1076;1949
select;400;0;953;1737
select;400;0;1016;1842
select;400;0;1017;1926
select;400;0;1054;1941
select;400;0;1001;1764
select;400;0;1073;1964
select;400;0;1095;2048
select;400;0;1148;2072
select;400;0;1127;2080
select;400;0;1030;1890
select;400;0;1005;1819
select;400;0;1009;1907
select;400;0;1107;2073
select;400;0;993;1838
select;400;0;1039;1933
select;400;0;1018;1870
select;400;0;1135;2062
select;400;0;1111;2055
select;400;0;1029;1910
select;400;0;1050;1964
select;400;0;1060;1969
select;400;0;1109;2034
select;400;0;1051;1931
select;400;0;1096;1998
select;400;0;1140;2072
