type;n;k;comp;shifts
select;200;200-1;476;909
select;200;200-1;460;850
select;200;200-1;487;898
select;200;200-1;439;847
select;200;200-1;502;910
select;200;200-1;473;908
select;200;200-1;485;888
select;200;200-1;481;935
select;300;0;797;1483
select;300;0;790;1431
select;300;0;843;1524
select;300;0;746;1377
select;300;0;789;1439
select;300;0;752;1456
select;300;0;814;1501
select;300;0;783;1468
select;300;0;803;1509
select;300;0;833;1564
select;300;0;888;1656
select;300;0;779;1461
select;300;0;793;1510
select;300;0;803;1483
select;300;0;778;1386
select;300;0;760;1446
select;300;0;765;1424
select;300;0;794;1465
select;300;0;818;1486
select;300;0;722;1314
select;300;0;808;1533
select;300;0;819;1490
select;300;0;814;1520
select;300;0;806;1488
select;300;0;796;1483
select;300;0;834;1555
select;300;0;660;1242
select;300;0;733;1379
select;300;0;748;1353
select;300;0;738;1349
select;300;0;814;1488
select;300;0;785;1445
select;300;0;850;1570
select;300;0;806;1504
select;300;0;846;1539
select;300;0;760;1401
select;300;0;847;1556
select;300;0;731;1362
select;300;0;825;1532
select;300;0;858;1602
select;300;0;796;1451
select;300;0;737;1339
select;300;0;752;1376
select;300;0;738;1365
select;300;0;790;1460
select;300;0;820;1519
select;300;0;751;1367
select;300;0;701;1258
select;300;0;823;1498
select;300;0;715;1376
select;300;0;839;1493
select;300;0;852;1533
select;300;0;713;1292
select;300;0;793;1474
select;300;0;844;1551
select;300;0;859;1604
select;300;0;826;1511
select;300;0;769;1409
select;300;0;789;1443
select;300;0;835;1530
select;300;0;845;1570
select;300;0;801;1479
select;300;0;842;1577
select;300;0;869;1614
select;300;0;813;1527
select;300;0;809;1536
select;300;0;785;1440
select;300;0;766;1488
select;300;0;817;1493
select;300;0;809;1478
select;300;0;764;1447
select;300;0;711;1348
select;300;0;812;1529
select;300;0;814;1511
select;300;0;864;1575
select;300;0;802;1490
select;300;0;824;1490
select;300;0;773;1423
select;300;0;761;1402
select;300;0;808;1449
select;300;0;746;1410
select;300;0;733;1386
select;300;0;790;1485
select;300;0;796;1519
select;300;0;793;1438
select;300;0;838;1569
select;300;0;715;1383
select;300;0;806;1476
select;300;0;828;1502
select;300;0;728;1372
select;300;0;793;1475
select;300;0;801;1471
select;300;0;834;1539
select;300;0;838;1541
select;300;0;798;1497
select;300;0;764;1423
select;300;0;848;1577
select;300;0;757;1456
select;300;0;822;1511
select;300;0;839;1537
select;300;300/4;746;1346
select;300;300/4;813;1480
select;300;300/4;775;1444
select;300;300/4;669;1232
select;300;300/4;
select;300;300/4;705;1372
select;300;300/4;765;1380
select;300;300/4;638;1197
select;300;300/4;
select;300;300/4;713;1320
select;300;300/4;711;1347
select;300;300/4;827;1484
select;300;300/4;
select;300;300/4;761;1395
select;300;300/4;770;1402
select;300;300/4;753;1331
select;300;300/4;725;1382
select;300;300/4;744;1388
select;300;300/4;755;1378
select;300;300/4;
select;300;300/4;804;1478
select;300;300/4;811;1493
select;300;300/4;811;1508
select;300;300/4;756;1381
select;300;300/4;701;1350
select;300;300/4;
select;300;300/4;679;1265
select;300;300/4;
select;300;300/4;
select;300;300/4;775;1386
select;300;300/4;
select;300;300/4;789;1445
select;300;300/4;
select;300;300/4;
select;300;300/4;
select;300;300/4;783;1464
select;300;300/4;
select;300;300/4;
select;300;300/4;742;1358
select;300;300/4;
select;300;300/4;846;1536
select;300;300/4;
select;300;300/4;778;1407
select;300;300/4;
select;300;300/4;750;1384
select;300;300/4;
select;300;300/4;703;1288
select;300;300/4;676;1287
select;300;300/4;693;1331
select;300;300/4;
select;300;300/4;860;1499
select;300;300/4;763;1406
select;300;300/4;752;1400
select;300;300/4;673;1254
select;300;300/4;755;1480
select;300;300/4;751;1384
select;300;300/4;730;1332
select;300;300/4;755;1417
select;300;300/4;783;1460
select;300;300/4;809;1482
select;300;300/4;
select;300;300/4;733;1342
select;300;300/4;792;1452
select;300;300/4;772;1383
select;300;300/4;703;1315
